"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Quantity","Unit Price","Extended Price","Description"
"ATMEGA32U4RC-AU","Microchip Technology","ATMEGA32U4RC-AU-ND","MCU - ATMEGA32U","1","6.09000","$6.09","IC MCU 8BIT 32KB FLASH 44TQFP"
"FA-238 16.0000MB-C3","EPSON","SER3686CT-ND","XTAL - EPSON FA-238","1","0.55000","$0.55","CRYSTAL 16.0000MHZ 18PF SMD"
"C0805C220J5GACTU","KEMET","399-1113-1-ND","CAP - CER 0805 22 pF","2","0.14000","$0.28","CAP CER 22PF 50V C0G/NP0 0805"
"CC0805ZRY5V9BB104","Yageo","311-1361-1-ND","CAP - CER 0805 0.1 uF","4","0.14000","$0.56","CAP CER 0.1UF 50V Y5V 0805"
"CC0805KKX7R7BB105","Yageo","311-1365-1-ND","CAP - CER 0805 1uF","1","0.24000","$0.24","CAP CER 1UF 16V X7R 0805"
"RMCF0805JT10K0","Stackpole Electronics Inc","RMCF0805JT10K0CT-ND","RES - 0805 10 kOHM","2","0.15000","$0.30","RES 10K OHM 5% 1/8W 0805"
"1N4148W-TP","Micro Commercial Co","1N4148WTPMSCT-ND","DIODE - SOD-123 1.25 V @ 15 mA","6","0.14000","$0.84","DIODE GEN PURP 100V 150MA SOD123"
"TL3342F160QG/TR","E-Switch","EG2531CT-ND","SWITCH - TACTILE 50 mA 12 V SPST","1","0.99000","$0.99","SWITCH TACTILE SPST-NO 0.05A 12V"
"UX60SC-MB-5S8","Hirose Electric Co Ltd","H11589CT-ND","CONN - R/A MINI B","1","1.51000","$1.51","CONN RCPT USB2.0 MINI B SMD R/A"
"CL21A475KAQNNNE","Samsung Electro-Mechanics","1276-1244-1-ND","CAP - CER 0805 4.7 uF","1","0.26000","$0.26","CAP CER 4.7UF 25V X5R 0805"
"RMCF0805FT22R0","Stackpole Electronics Inc","RMCF0805FT22R0CT-ND","RES - 0805 22 OHM","2","0.15000","$0.30","RES 22 OHM 1% 1/8W 0805"
